ID,RECARGA
126242,0.95
182054,0.97
171500,0.88
98531,0.52
189808,0.92
124767,0.96
62372,0.73
164841,0.97
143500,0.95
141718,0.87
114858,0.43
151715,0.93
32012,0.82
136766,0.97
193806,0.96
50280,0.72
33870,0.77
204101,0.96
123096,0.95
128400,0.95
150985,0.94
112789,0.11
104163,0.16
180485,0.96
115335,0.02
129243,0.9
62334,0.87
102363,0.47
200834,0.9
65760,0.23
16862,0.81
55134,0.36
208219,0.6
39728,0.7
127883,0.94
24845,0.85
26270,0.58
42753,0.75
111653,0.8
124635,0.9
178547,0.94
195221,0.96
189577,0.96
44272,0.81
52024,0.42
201681,0.87
202464,0.82
123294,0.84
90701,0.02
208742,0.94
190324,0.94
58636,0.86
122431,0.62
158906,0.95
54608,0.73
95981,0.71
55799,0.75
206657,0.95
174369,0.95
2977,0.88
172763,0.93
116217,0.55
115191,0.02
19301,0.45
2079,0.88
142947,0.92
134566,0.91
180947,0.95
66763,0.88
175759,0.97
56393,0.84
55324,0.83
115696,0.36
96714,0.02
42694,0.87
120957,0.55
123333,0.88
1797,0.79
125901,0.97
126044,0.94
195783,0.92
181721,0.94
67429,0.81
95360,0.67
154484,0.87
136010,0.91
113067,0.33
156897,0.96
107311,0.06
28106,0.65
41185,0.66
78562,0.51
65649,0.65
69199,0.47
120323,0.92
38905,0.78
119889,0.13
186604,0.97
121719,0.02
16379,0.78
68155,0.47
51779,0.69
122927,0.95
53279,0.84
149281,0.96
31628,0.38
74870,0.91
198518,0.89
191914,0.97
181009,0.97
153057,0.97
71835,0.77
157497,0.96
161550,0.97
17526,0.85
55260,0.77
208143,0.92
179736,0.92
48740,0.7
45263,0.74
116488,0.01
309,0.9
100776,0.16
182096,0.95
199103,0.92
16128,0.5
119666,0.27
112358,0.02
61197,0.83
95558,0.02
105624,0.27
12209,0.66
95816,0.13
196782,0.97
179201,0.92
159389,0.97
157354,0.97
116346,0.02
131381,0.96
39698,0.83
181233,0.96
91086,0.03
91416,0.04
91792,0.02
150530,0.96
86787,0.56
98837,0.13
131497,0.96
107714,0.03
173869,0.91
27034,0.71
113105,0.32
5176,0.9
112692,0.38
30356,0.71
136053,0.95
4765,0.62
38869,0.82
99693,0.27
135471,0.97
110471,0.01
199809,0.88
191372,0.94
113630,0.51
124267,0.92
95307,0.39
176423,0.94
2921,0.73
85073,0.05
206654,0.94
142169,0.96
115939,0.24
175095,0.97
112875,0.83
195857,0.97
34438,0.72
81831,0.41
91682,0.01
65144,0.76
91419,0.04
114800,0.57
54348,0.32
83900,0.01
201008,0.96
123085,0.97
54279,0.66
9282,0.58
99662,0.04
122026,0.14
178043,0.96
64713,0.8
208860,0.92
180332,0.96
57874,0.85
62091,0.69
187428,0.97
207292,0.97
146233,0.96
66776,0.79
162236,0.92
169611,0.97
119932,0.55
10222,0.76
19804,0.82
58052,0.76
58816,0.84
73318,0.76
127385,0.91
178422,0.96
99410,0.73
101025,0.08
51623,0.88
176259,0.94
165041,0.97
158790,0.94
183581,0.96
138389,0.95
23975,0.71
45137,0.51
109216,0.45
134166,0.97
103579,0.49
180680,0.91
152232,0.97
91404,0.06
41220,0.62
19339,0.73
111541,0.56
72742,0.68
122793,0.97
129912,0.96
66495,0.79
98003,0.87
92484,0.62
54367,0.58
1867,0.86
3683,0.73
45672,0.73
73927,0.62
131332,0.94
62992,0.81
46677,0.7
35113,0.66
172263,0.86
32896,0.82
202819,0.96
168604,0.97
58873,0.13
87234,0.02
171097,0.95
184117,0.94
2009,0.8
158032,0.92
37284,0.46
28462,0.9
206021,0.95
38262,0.74
114804,0.19
73884,0.88
32782,0.82
121812,0.62
66199,0.69
84464,0.06
26179,0.31
24493,0.8
13528,0.86
3017,0.78
206823,0.92
204819,0.96
14380,0.67
27006,0.53
71765,0.6
153990,0.96
27230,0.71
49564,0.88
74799,0.59
14587,0.81
64252,0.76
202039,0.86
143251,0.89
113580,0.78
123157,0.95
188303,0.89
163942,0.94
146431,0.95
1174,0.67
130911,0.96
182662,0.88
40992,0.72
200181,0.95
125090,0.95
123191,0.97
82223,0.35
4711,0.52
5733,0.73
102176,0.67
175833,0.96
109754,0.52
169216,0.95
42198,0.53
79464,0.11
156942,0.95
15502,0.83
155958,0.96
18368,0.87
45184,0.91
113307,0.04
85241,0.23
13463,0.77
134031,0.95
74132,0.78
116951,0.63
70816,0.56
70525,0.77
488,0.74
174134,0.94
71397,0.37
147606,0.93
95863,0.16
141705,0.97
124824,0.96
37484,0.8
43410,0.83
123084,0.96
150850,0.91
154878,0.94
189215,0.91
134316,0.97
197109,0.9
71892,0.82
185545,0.95
150748,0.9
126,0.77
120194,0.67
36067,0.87
169222,0.97
158279,0.96
208176,0.92
117263,0.64
184697,0.92
160465,0.97
29162,0.84
101079,0.78
24726,0.8
160610,0.89
53488,0.72
38281,0.79
38505,0.64
155365,0.95
56481,0.71
183994,0.96
92342,0.21
9956,0.66
111432,0.48
114898,0.25
184581,0.97
83957,0.23
21872,0.56
21874,0.8
36575,0.81
138756,0.97
60197,0.58
81024,0.11
69943,0.67
59382,0.77
74295,0.83
196768,0.95
33818,0.7
30911,0.8
175794,0.91
173712,0.96
199859,0.96
29146,0.79
151272,0.96
8211,0.9
84986,0.01
190527,0.91
132708,0.98
160517,0.96
173744,0.97
23306,0.7
70269,0.73
143538,0.97
146675,0.97
95389,0.17
193891,0.92
109552,0.6
77585,0.7
116441,0.59
34437,0.15
34738,0.57
98326,0.28
199768,0.97
5514,0.83
77207,0.75
59673,0.84
92749,0.43
16635,0.79
148484,0.88
28003,0.74
158105,0.97
126448,0.96
150565,0.97
206201,0.89
158912,0.95
58829,0.62
53249,0.52
171935,0.97
66102,0.73
96469,0.88
118396,0.01
148858,0.98
160921,0.89
141258,0.96
111816,0.38
142078,0.97
39394,0.61
139094,0.86
88732,0.01
53230,0.86
148503,0.96
41570,0.75
202296,0.97
68558,0.74
72991,0.78
110992,0.52
33758,0.8
50410,0.83
85051,0.6
101709,0.16
92604,0.02
23029,0.81
51716,0.73
195597,0.95
74315,0.78
148242,0.97
32281,0.58
162123,0.97
177257,0.92
203703,0.97
182522,0.97
140620,0.95
199621,0.95
88170,0.51
41522,0.79
208252,0.96
41201,0.79
100714,0.01
74434,0.75
55507,0.7
185061,0.94
71563,0.67
80850,0.01
66390,0.64
103149,0.68
17401,0.81
124245,0.86
198761,0.96
66017,0.75
187540,0.95
64075,0.74
182317,0.95
160851,0.91
165951,0.96
6063,0.67
111283,0.53
20547,0.77
114719,0.7
187194,0.97
10457,0.33
90003,0.1
189394,0.97
143391,0.96
11464,0.73
165003,0.89
194146,0.96
103864,0.52
171493,0.95
192474,0.94
5083,0.88
135426,0.93
125295,0.88
147953,0.94
62346,0.69
182909,0.96
43880,0.41
77235,0.45
104763,0.79
88909,0.04
113798,0.57
95490,0.08
159699,0.94
161317,0.9
26171,0.79
50742,0.73
146515,0.93
4097,0.85
31281,0.42
113695,0.37
38957,0.77
181063,0.9
56967,0.57
165988,0.97
115086,0.09
198437,0.9
93478,0.53
3276,0.87
101981,0.01
144764,0.95
115885,0.09
35017,0.73
13865,0.82
181688,0.93
197082,0.95
40415,0.85
140530,0.91
68072,0.76
155500,0.97
11231,0.76
102549,0.01
1813,0.73
37813,0.38
134239,0.93
53859,0.7
143683,0.9
34764,0.89
140713,0.9
166507,0.92
38561,0.75
83333,0.02
145636,0.97
161382,0.95
96491,0.12
153136,0.91
65249,0.71
125255,0.9
155332,0.95
65640,0.85
14192,0.71
36949,0.68
15763,0.7
9588,0.84
145323,0.97
55594,0.87
3240,0.83
109579,0.54
110590,0.58
57398,0.76
19854,0.69
196510,0.96
76247,0.65
92917,0.74
178589,0.89
163444,0.95
80982,0.21
150261,0.93
48118,0.55
156207,0.97
132949,0.95
157966,0.94
55487,0.79
147834,0.96
79831,0.07
185555,0.97
160106,0.96
117249,0.58
18159,0.76
174017,0.96
2440,0.61
140485,0.97
171169,0.96
199155,0.96
79777,0.13
132100,0.87
170943,0.97
62166,0.77
109260,0.02
139277,0.92
206851,0.93
100576,0.34
41590,0.81
53174,0.79
91305,0.03
178550,0.92
146791,0.93
193209,0.94
173616,0.96
70340,0.2
134387,0.96
152900,0.97
186496,0.96
140894,0.96
200458,0.91
143892,0.97
134063,0.91
49005,0.83
97088,0.73
118331,0.97
31532,0.76
169553,0.92
78887,0.02
116792,0.09
98305,0.18
12619,0.86
22685,0.9
168737,0.89
119510,0.02
64794,0.89
156613,0.93
5174,0.8
30920,0.8
92707,0.65
185006,0.95
34926,0.4
5736,0.77
34729,0.88
136756,0.9
123067,0.95
30029,0.74
28908,0.4
12503,0.79
77056,0.58
47091,0.7
42716,0.84
93378,0.69
143738,0.96
177798,0.92
160164,0.89
7626,0.26
73463,0.42
94294,0.21
68203,0.47
36320,0.7
139938,0.94
123689,0.9
91801,0.03
184874,0.94
115729,0.84
141023,0.95
7122,0.8
150406,0.96
37410,0.86
90976,0.04
165703,0.94
72752,0.71
55571,0.85
78099,0.9
76338,0.84
183160,0.96
160912,0.92
130512,0.92
115425,0.09
22910,0.73
3557,0.74
40279,0.65
95483,0.8
127912,0.95
43094,0.66
2741,0.79
17889,0.6
59532,0.8
77706,0.79
53737,0.71
23899,0.52
44789,0.75
166136,0.97
89766,0.03
114152,0.01
30419,0.8
74922,0.87
1325,0.84
12530,0.57
16829,0.77
151628,0.95
152078,0.95
194990,0.96
110730,0.02
95757,0.44
203728,0.96
199866,0.96
165999,0.96
73819,0.83
163912,0.96
104959,0.01
106389,0.03
127223,0.93
208258,0.94
166022,0.96
161501,0.95
28134,0.78
39149,0.58
104401,0.01
55554,0.58
176698,0.95
11342,0.84
1742,0.81
109570,0.18
110391,0.67
145704,0.97
85689,0.02
47258,0.04
15916,0.69
131577,0.96
8522,0.65
208678,0.96
143789,0.96
113964,0.05
34213,0.8
73510,0.75
23521,0.65
169518,0.9
79299,0.45
126557,0.89
6312,0.81
186829,0.96
207269,0.96
15225,0.73
60409,0.82
114332,0.69
132332,0.9
34419,0.82
30151,0.69
177730,0.9
202667,0.96
205184,0.97
182247,0.97
134942,0.89
193428,0.94
135696,0.9
9531,0.63
187704,0.91
93903,0.52
38593,0.73
65682,0.78
72315,0.2
130032,0.92
143392,0.96
86682,0.01
51572,0.74
167961,0.93
30050,0.69
206759,0.94
195632,0.98
93093,0.74
98220,0.05
1972,0.74
69262,0.85
55331,0.85
147336,0.96
1440,0.72
176439,0.95
29867,0.56
132223,0.97
127906,0.95
169992,0.91
135957,0.95
78280,0.82
22126,0.81
3081,0.83
66024,0.83
12077,0.65
193763,0.96
127060,0.96
55998,0.63
161822,0.97
931,0.62
74706,0.83
61422,0.84
33687,0.6
42719,0.71
122013,0.01
143293,0.95
70113,0.72
728,0.78
111187,0.63
183734,0.87
91737,0.55
42677,0.59
172393,0.96
54213,0.8
92281,0.15
89799,0.02
88489,0.66
159705,0.96
93152,0.78
35065,0.81
174302,0.95
207862,0.89
189389,0.62
32521,0.73
96312,0.01
196087,0.96
97868,0.17
137186,0.88
52993,0.84
55243,0.89
118423,0.01
115151,0.18
185510,0.96
84476,0.04
125666,0.97
171604,0.97
108026,0.51
157210,0.97
14743,0.77
28150,0.81
92662,0.79
125041,0.96
151640,0.97
55117,0.84
69289,0.74
94564,0.7
134888,0.96
61653,0.62
62109,0.64
161225,0.96
4140,0.83
166425,0.96
117327,0.6
112520,0.38
205648,0.95
183521,0.96
68117,0.14
64056,0.81
12453,0.62
145690,0.94
101945,0.02
175497,0.93
116517,0.01
124486,0.97
68732,0.71
73984,0.63
170857,0.93
2430,0.74
3104,0.77
33721,0.75
193487,0.97
137633,0.96
151887,0.93
4837,0.68
149665,0.86
89236,0.34
89624,0.23
142991,0.97
68681,0.61
58296,0.68
87704,0.02
57963,0.71
121904,0.63
76291,0.68
64676,0.86
98471,0.15
174389,0.96
179600,0.97
63924,0.85
91633,0.21
138981,0.96
121771,0.01
187829,0.89
15165,0.32
36372,0.67
61665,0.78
179268,0.86
180572,0.95
18544,0.75
44928,0.58
2157,0.74
107656,0.44
130342,0.91
186293,0.94
90778,0.02
131966,0.96
19503,0.87
70540,0.89
13899,0.79
47306,0.63
28479,0.67
125856,0.97
10854,0.67
15881,0.79
145825,0.92
162711,0.95
87096,0.21
139714,0.91
137555,0.96
84700,0.04
154777,0.89
165511,0.97
153143,0.93
88947,0.64
53100,0.61
120242,0.48
146848,0.94
75381,0.75
169492,0.95
83693,0.01
170157,0.89
189993,0.91
32942,0.69
128890,0.96
125045,0.97
30454,0.55
156904,0.86
145315,0.87
10850,0.74
10089,0.82
40631,0.82
40844,0.74
22820,0.61
67105,0.87
205597,0.88
85555,0.8
2959,0.85
174782,0.93
117562,0.62
207737,0.97
76029,0.73
197268,0.97
175559,0.97
31137,0.6
143763,0.95
51889,0.67
111903,0.47
102121,0.56
21131,0.72
163318,0.95
86438,0.36
62065,0.89
107355,0.11
126754,0.96
17744,0.46
60651,0.66
170997,0.95
25643,0.7
137738,0.93
81560,0.19
34096,0.78
117322,0.13
129018,0.96
8202,0.82
171602,0.9
155287,0.96
128492,0.98
63728,0.7
42095,0.77
182192,0.94
96224,0.23
159025,0.9
93324,0.17
56231,0.6
98372,0.15
6246,0.81
195134,0.96
144310,0.97
112084,0.55
162587,0.95
207501,0.9
60047,0.85
148640,0.9
173394,0.96
581,0.79
25530,0.77
45105,0.85
956,0.64
133101,0.91
68003,0.51
165411,0.97
110252,0.33
998,0.76
166286,0.92
65883,0.82
117701,0.37
152512,0.97
5622,0.81
133804,0.93
85873,0.28
145483,0.95
166485,0.96
2461,0.76
65740,0.79
123935,0.92
119653,0.23
100253,0.03
186340,0.88
96375,0.62
36191,0.78
22819,0.83
303,0.73
27851,0.53
118635,0.38
121762,0.09
122345,0.89
73989,0.75
18042,0.61
204872,0.94
50965,0.68
35744,0.87
45905,0.85
4358,0.82
196386,0.9
31423,0.61
167272,0.97
81754,0.63
207787,0.84
14884,0.72
149275,0.96
180265,0.96
92870,0.61
52404,0.61
26281,0.53
13308,0.58
150792,0.91
41136,0.63
1135,0.38
33943,0.7
23997,0.7
166789,0.96
165350,0.9
76289,0.8
190296,0.97
88350,0.31
183955,0.95
90260,0.01
102084,0.01
39440,0.7
190361,0.93
101094,0.1
32498,0.66
17268,0.07
164261,0.96
156623,0.95
193326,0.97
18272,0.74
24151,0.79
182554,0.9
100114,0.5
82482,0.72
33510,0.71
106372,0.01
75405,0.73
52776,0.91
1615,0.59
177254,0.92
74996,0.88
129622,0.95
176919,0.96
145516,0.97
24527,0.86
110374,0.45
87730,0.6
117025,0.01
139799,0.97
123797,0.96
78069,0.74
167399,0.97
35865,0.73
171999,0.91
71824,0.71
150338,0.95
66473,0.79
5074,0.74
36015,0.61
94137,0.01
86308,0.04
20845,0.55
176053,0.94
92227,0.52
145687,0.94
148783,0.95
198310,0.95
68121,0.5
148645,0.89
199195,0.9
159306,0.94
128724,0.96
90806,0.47
79174,0.47
33344,0.84
104188,0.5
189159,0.96
144772,0.91
103994,0.01
46855,0.81
39725,0.71
21788,0.58
15810,0.68
31249,0.65
35606,0.76
184192,0.97
185041,0.92
103062,0.73
156958,0.9
122031,0.01
137988,0.95
70471,0.61
164054,0.96
197945,0.93
1874,0.8
179775,0.94
171902,0.95
52116,0.78
80086,0.08
123864,0.95
99852,0.35
15922,0.84
40861,0.33
34607,0.6
58235,0.84
72770,0.83
63259,0.79
100760,0.12
204958,0.97
24947,0.76
201395,0.95
104445,0.5
141460,0.95
201978,0.96
17846,0.8
99937,0.15
187906,0.95
113605,0.73
68701,0.71
123230,0.95
43565,0.65
198258,0.96
183472,0.94
143408,0.98
94697,0.73
74084,0.5
139892,0.95
24015,0.69
18828,0.73
68730,0.61
139637,0.96
112905,0.24
33369,0.83
168210,0.95
27570,0.53
118244,0.01
86240,0.85
81471,0.01
136405,0.97
3045,0.71
48064,0.76
133616,0.97
38914,0.85
105730,0.03
56360,0.17
51764,0.29
1623,0.73
32080,0.82
139898,0.97
85501,0.01
29465,0.69
93807,0.82
11589,0.78
196978,0.95
104586,0.49
158359,0.96
5013,0.85
145780,0.96
193344,0.96
96481,0.77
70032,0.8
86763,0.49
158523,0.94
116198,0.35
81394,0.12
143764,0.97
153414,0.91
202014,0.92
182119,0.97
208351,0.94
4118,0.72
73551,0.65
206883,0.96
150164,0.93
106361,0.66
147965,0.96
165501,0.96
194376,0.96
40163,0.75
144863,0.97
79508,0.01
187027,0.95
76633,0.77
44166,0.83
84349,0.03
194259,0.96
66315,0.83
1468,0.6
189703,0.96
11240,0.82
171276,0.9
135720,0.95
161878,0.96
144098,0.97
139956,0.95
110912,0.09
179410,0.88
152037,0.91
166449,0.96
105849,0.77
132815,0.93
140406,0.96
184836,0.95
147240,0.91
169313,0.92
113838,0.47
76711,0.9
200339,0.92
101679,0.53
138548,0.97
23848,0.84
193115,0.97
41455,0.86
19515,0.85
184092,0.88
136769,0.95
193018,0.94
120678,0.02
59379,0.77
204149,0.72
41675,0.83
126765,0.94
118431,0.83
143414,0.91
34016,0.85
93670,0.45
10459,0.5
152298,0.95
89481,0.62
35932,0.55
144292,0.95
143121,0.96
206570,0.97
105238,0.02
88022,0.02
117233,0.73
83948,0.57
207492,0.91
10401,0.56
49124,0.8
119340,0.96
152571,0.96
158809,0.96
74783,0.84
166348,0.95
123275,0.9
146770,0.96
40856,0.85
16386,0.73
47496,0.81
31826,0.61
22664,0.66
50390,0.81
144474,0.91
185527,0.85
79953,0.61
75730,0.77
130495,0.95
2808,0.76
66806,0.83
76752,0.58
12794,0.38
132089,0.96
105003,0.28
75333,0.74
75353,0.65
162177,0.95
91118,0.69
87343,0.2
112229,0.52
112429,0.31
53078,0.77
126334,0.95
193364,0.96
32667,0.75
185301,0.97
50438,0.81
155554,0.97
156575,0.95
85585,0.67
48032,0.56
151631,0.92
124774,0.89
51952,0.81
111676,0.77
192495,0.97
91157,0.2
67577,0.61
108291,0.57
9758,0.5
35812,0.13
185613,0.94
20862,0.79
185320,0.93
167208,0.95
131633,0.97
1572,0.82
91820,0.74
33633,0.74
92020,0.02
201364,0.97
126747,0.95
197156,0.97
22390,0.81
37383,0.76
23707,0.82
199999,0.6
71360,0.66
3141,0.85
71622,0.77
122762,0.92
13351,0.82
21148,0.82
37116,0.22
139354,0.97
108665,0.09
102010,0.02
161079,0.95
195760,0.87
171341,0.95
190032,0.89
125689,0.96
172162,0.89
36416,0.61
96654,0.09
64451,0.75
107448,0.06
152306,0.95
113715,0.79
16359,0.8
184067,0.94
65694,0.66
81771,0.15
118697,0.46
98816,0.01
107277,0.29
157300,0.96
138005,0.96
114308,0.1
135134,0.96
157501,0.97
111557,0.06
6396,0.82
114968,0.02
188892,0.93
60241,0.71
39018,0.84
11719,0.69
187847,0.93
94926,0.01
111272,0.03
36825,0.6
36036,0.81
74003,0.76
55477,0.62
208234,0.95
193040,0.96
95845,0.02
177046,0.96
120553,0.72
135879,0.95
117838,0.12
141415,0.91
108826,0.58
144329,0.96
90525,0.01
146055,0.94
146399,0.95
72183,0.82
56019,0.69
163069,0.88
76220,0.79
94613,0.18
146844,0.95
117301,0.72
172877,0.84
7972,0.69
180407,0.91
105852,0.01
2482,0.84
118489,0.96
194066,0.96
188014,0.92
28621,0.63
72435,0.78
108325,0.53
171540,0.96
130646,0.96
130983,0.97
97829,0.8
141474,0.9
204366,0.95
59252,0.73
196537,0.97
146977,0.95
167034,0.95
61347,0.57
92071,0.08
160166,0.9
33684,0.77
128471,0.92
200548,0.96
134784,0.96
134021,0.9
43100,0.85
85527,0.01
121342,0.27
40502,0.71
157931,0.97
94051,0.55
206460,0.96
162398,0.95
46716,0.65
48906,0.71
180670,0.89
37844,0.84
13530,0.81
105136,0.74
92557,0.25
69806,0.7
98698,0.35
83215,0.05
74535,0.67
143839,0.96
94300,0.48
47128,0.57
117203,0.03
48230,0.77
201793,0.96
168198,0.94
34378,0.63
92228,0.86
205349,0.84
194793,0.93
138187,0.92
193269,0.95
175864,0.96
42717,0.54
75390,0.81
53271,0.63
102088,0.59
201437,0.96
115584,0.01
138708,0.96
60873,0.82
138454,0.97
61889,0.62
57745,0.62
2963,0.83
187947,0.97
105565,0.28
44812,0.89
32082,0.78
1173,0.6
165469,0.96
122104,0.96
127811,0.93
124396,0.92
141573,0.95
7782,0.79
129927,0.95
109220,0.35
104327,0.31
120296,0.33
108359,0.01
22957,0.82
88664,0.03
39729,0.67
155601,0.96
60039,0.82
18995,0.87
26550,0.53
40367,0.5
79303,0.08
35883,0.75
67106,0.77
9129,0.84
125018,0.93
81994,0.02
194181,0.95
6740,0.85
96302,0.73
130783,0.95
49679,0.66
57844,0.8
208485,0.92
12389,0.7
162994,0.89
14592,0.76
147064,0.89
190315,0.96
66665,0.78
65549,0.58
124291,0.92
134799,0.89
150185,0.88
55618,0.69
156113,0.89
169761,0.96
25934,0.7
186572,0.96
83669,0.09
70067,0.9
207705,0.95
147042,0.91
57727,0.76
147863,0.97
150614,0.97
110476,0.36
176338,0.95
41308,0.73
86523,0.78
5541,0.69
59303,0.67
10689,0.83
199936,0.89
92751,0.01
107875,0.55
73941,0.75
150893,0.96
86476,0.43
37497,0.8
154192,0.94
121910,0.97
187148,0.9
52029,0.21
188007,0.93
190160,0.95
54302,0.56
22312,0.75
132029,0.96
124166,0.91
204280,0.89
70047,0.75
1295,0.62
107680,0.72
107407,0.81
26355,0.85
180787,0.97
32025,0.82
178615,0.96
21256,0.62
134601,0.96
3570,0.83
46053,0.75
181911,0.94
184376,0.94
45474,0.71
30972,0.74
125893,0.89
173193,0.96
76709,0.77
145469,0.97
82804,0.02
149737,0.9
193378,0.92
206186,0.96
55963,0.67
193238,0.96
201996,0.96
151002,0.96
27196,0.68
34600,0.75
176606,0.91
117760,0.81
118521,0.96
183173,0.97
114591,0.36
190453,0.96
91726,0.03
39706,0.62
81414,0.09
29849,0.83
87763,0.02
10215,0.71
117299,0.29
187645,0.97
156896,0.95
150147,0.95
143941,0.97
184894,0.96
44531,0.78
43451,0.55
13229,0.76
176193,0.93
131027,0.95
62635,0.61
16898,0.73
140052,0.97
20275,0.83
208504,0.91
115530,0.55
86826,0.02
63331,0.57
88465,0.67
115373,0.24
200342,0.96
208425,0.96
66430,0.83
1793,0.89
27253,0.85
158940,0.96
136063,0.88
69510,0.64
91447,0.44
195374,0.97
134282,0.9
120433,0.26
1988,0.81
158716,0.96
9087,0.74
42841,0.78
11684,0.75
124242,0.95
117738,0.69
83345,0.14
105366,0.02
26074,0.79
44198,0.72
92140,0.28
141909,0.97
176785,0.97
68615,0.65
136985,0.96
79503,0.32
106347,0.22
21775,0.77
175132,0.93
114453,0.32
90514,0.69
67120,0.68
111804,0.3
72687,0.73
181061,0.92
122179,0.96
162205,0.97
34339,0.82
58959,0.76
152033,0.87
102002,0.65
2357,0.72
201857,0.89
165113,0.97
130844,0.95
146254,0.96
122598,0.96
8223,0.77
128681,0.95
8323,0.86
164368,0.92
80227,0.01
7509,0.84
93787,0.59
14599,0.18
130081,0.96
158724,0.97
112787,0.01
178844,0.89
195579,0.96
83722,0.02
162028,0.98
154755,0.96
56469,0.82
12372,0.72
19638,0.6
112617,0.72
164237,0.95
96532,0.74
159019,0.96
104112,0.37
199494,0.95
193847,0.93
133277,0.93
149831,0.95
16124,0.6
16697,0.48
129607,0.93
140522,0.95
137719,0.94
186909,0.97
72039,0.12
201258,0.96
25034,0.78
59556,0.72
50453,0.87
74633,0.61
178924,0.96
62847,0.8
16707,0.73
188537,0.92
183909,0.91
95264,0.38
38840,0.89
187562,0.96
177538,0.94
134192,0.88
75902,0.77
32123,0.79
186353,0.89
114136,0.01
11030,0.6
126138,0.93
67943,0.39
134404,0.89
150956,0.95
190908,0.96
172025,0.95
136231,0.96
64765,0.78
92206,0.71
54582,0.46
38075,0.79
169755,0.9
46430,0.68
54452,0.63
188803,0.97
62103,0.72
36784,0.83
30530,0.65
181545,0.9
48802,0.85
6630,0.76
153643,0.96
44668,0.78
55104,0.44
156793,0.96
108857,0.02
102715,0.03
199445,0.95
39829,0.76
129671,0.9
69324,0.86
41307,0.7
124781,0.96
166991,0.93
150965,0.94
147593,0.98
71163,0.7
39568,0.8
169909,0.95
91662,0.27
72734,0.75
156831,0.96
123357,0.97
105402,0.71
74110,0.72
120667,0.02
111042,0.02
133765,0.97
19085,0.77
180856,0.86
69731,0.79
75126,0.77
42418,0.46
22235,0.89
9512,0.61
61999,0.78
10945,0.77
207327,0.96
60343,0.77
133388,0.95
51568,0.91
194134,0.91
147694,0.96
73027,0.75
5665,0.57
200282,0.91
88724,0.46
121148,0.96
179009,0.95
199462,0.95
168262,0.95
29365,0.62
200283,0.95
86271,0.11
17248,0.76
136595,0.96
6230,0.66
96878,0.19
